"Product name","price","listing url","image url","Description","sponsored","order in page","date"
"Spa Quadrado 2x2 - Imersão - Com Travesseiros De Brinde !!","3799","https://produto.mercadolivre.com.br/MLB-2710637477-spa-quadrado-2x2-imerso-com-travesseiros-de-brinde--_JM#position=1&search_layout=grid&type=item&tracking_id=5d24d97e-6e4e-4d62-b2cd-fb8ff3ef956a","https://http2.mlstatic.com/D_NQ_NP_831196-MLB50637061640_072022-W.webp","","No Paid Search","1","2022-10-27 10:12:48"
"Spa Copacabana Hidromassagem - 7 Lugares Completo E Barato","11499","https://produto.mercadolivre.com.br/MLB-1104293220-spa-copacabana-hidromassagem-7-lugares-completo-e-barato-_JM#position=2&search_layout=grid&type=item&tracking_id=5d24d97e-6e4e-4d62-b2cd-fb8ff3ef956a","https://http2.mlstatic.com/D_NQ_NP_611858-MLB27672184403_072018-W.webp","","No Paid Search","2","2022-10-27 10:12:49"
"Spa,ofurô, Jacuzzi Área Externa 7 A 10 Pessoas Completo","22990","https://produto.mercadolivre.com.br/MLB-2095838776-spaofur-jacuzzi-area-externa-7-a-10-pessoas-completo-_JM#position=3&search_layout=grid&type=item&tracking_id=5d24d97e-6e4e-4d62-b2cd-fb8ff3ef956a","https://http2.mlstatic.com/D_NQ_NP_741268-MLB49564885984_042022-W.webp","","No Paid Search","3","2022-10-27 10:12:50"
"Spa Copacabana Hidromassagem - 7 Lugares Completo E Barato","9899","https://produto.mercadolivre.com.br/MLB-1129082711-spa-copacabana-hidromassagem-7-lugares-completo-e-barato-_JM#position=4&search_layout=grid&type=item&tracking_id=5d24d97e-6e4e-4d62-b2cd-fb8ff3ef956a","https://http2.mlstatic.com/D_NQ_NP_611858-MLB27672184403_072018-W.webp","Descri\347\343o \"" N\303O \311 ENVIO IMEDIATO \"" DEVIDO DEMANDA DE PEDIDOS COLOCAMOS NA TRANSPORTADORA DE 14 a 18 DIAS CORRIDOS. SPA Copacabana \u2013 7 pessoas Capacidade : 1400 litros Oferecemos SPA\264S Completos e com Garantia de Fabrica O SPA \351 produzido em Gel Coat NAVAL com NPG (Neopentil Glicol) e Inibidor de luz UV Refor\347ado com fibra de vidro, um material de alta durabilidade e longa vida \372til. Com alto brilho, este material proporcionar\341 muito conforto para voc\352. \311 muito f\341cil de limpar e oferece grande resist\352ncia \341 raios solares e \341 a\347\343o do tempo. A configura\347\343o do SPA \351 com: 10 Jatos Grande direcion\341veis em inox 7 travesseiros 1 V\341lvula de entrada com Ladr\343o 1 V\341lvula de sa\355da sendo Dreno 1 Suc\347\343o 4 Arejadores 1 Moto bombas de 2 cv Blindada extremamente silenciosa da Syllent Aquecedor digital 8000 watts com sensor de n\355vel da SANSPRAY 2 Pontos de cromoterapia da SANSPRAY Painel Digital SANSPRAY Filtro Cartucho da Jacuzzi Capa Garantia e nota fiscal eletr\364nica 5 anos de garantia no casco 1 anos de garantia nos acess\363rios jatos 1 anos de garantia na moto bomba 1 ano de garantia no aquecedor e cromoterapia O SPA vai todo montado, pronto para acabamento e uso. Basta colocar o SPA em cima do local determinado, fazer liga\347\365es de entrada e sa\355da de \341gua e ligar na rede el\351trica . N\343o necessita de alvenaria de sustenta\347\343o, pois o SPA vai com os p\351s extremamente refor\347ados e uma base nivelada com os equipamentos instalados e chumbados, basta fazer o acabamento .","No Paid Search","4","2022-10-27 10:12:51"
"Spa Hidromassagem Junior 4 A 6 Lugares Com Brilho E Garantia","7199","https://produto.mercadolivre.com.br/MLB-1000749082-spa-hidromassagem-junior-4-a-6-lugares-com-brilho-e-garantia-_JM#position=5&search_layout=grid&type=item&tracking_id=5d24d97e-6e4e-4d62-b2cd-fb8ff3ef956a","https://http2.mlstatic.com/D_NQ_NP_769101-MLB27076508373_032018-W.webp","","No Paid Search","5","2022-10-27 10:12:51"
"Spa Quadrado 2x2 - C/hidromassagem+travesseiros De Brinde !!","4599","https://produto.mercadolivre.com.br/MLB-2710737567-spa-quadrado-2x2-chidromassagemtravesseiros-de-brinde--_JM#position=6&search_layout=grid&type=item&tracking_id=5d24d97e-6e4e-4d62-b2cd-fb8ff3ef956a","https://http2.mlstatic.com/D_NQ_NP_768545-MLB50637501897_072022-W.webp","","No Paid Search","6","2022-10-27 10:12:52"
"Spa Copacabana Hidromassagem 7 Lugares Com Brilho E Garantia","17050","https://produto.mercadolivre.com.br/MLB-1028692653-spa-copacabana-hidromassagem-7-lugares-com-brilho-e-garantia-_JM#position=7&search_layout=grid&type=item&tracking_id=5d24d97e-6e4e-4d62-b2cd-fb8ff3ef956a","https://http2.mlstatic.com/D_NQ_NP_651902-MLB26602398797_012018-W.webp","","No Paid Search","7","2022-10-27 10:12:53"
"Spa Jacuzzi, P/ 10 Pessoas, C/ Hidro Syllent Super Oferta!","13199","https://produto.mercadolivre.com.br/MLB-2080333518-spa-jacuzzi-p-10-pessoas-c-hidro-syllent-super-oferta-_JM#position=8&search_layout=grid&type=item&tracking_id=5d24d97e-6e4e-4d62-b2cd-fb8ff3ef956a","https://http2.mlstatic.com/D_NQ_NP_716384-MLB49061632150_022022-W.webp","","No Paid Search","8","2022-10-27 10:12:54"
"Spa,ofurô,jacuzzi Área Externa Cromo+aquecedor À Vista","7416","https://produto.mercadolivre.com.br/MLB-1675947320-spaofurjacuzzi-area-externa-cromoaquecedor-vista-_JM#position=9&search_layout=grid&type=item&tracking_id=5d24d97e-6e4e-4d62-b2cd-fb8ff3ef956a","https://http2.mlstatic.com/D_NQ_NP_991576-MLB43307503570_082020-W.webp","","No Paid Search","9","2022-10-27 10:12:54"
"Ofurô Duplo Piacenza C/hidro + Aquecedor Top Jacuzzi","3831","https://produto.mercadolivre.com.br/MLB-1636630853-ofur-duplo-piacenza-chidro-aquecedor-top-jacuzzi-_JM#position=10&search_layout=grid&type=item&tracking_id=5d24d97e-6e4e-4d62-b2cd-fb8ff3ef956a","https://http2.mlstatic.com/D_NQ_NP_955865-MLB51057161327_082022-W.webp","","No Paid Search","10","2022-10-27 10:12:55"
